"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","147","GetProduct","","Wed Nov 12 07:32:02 UTC 2025","passed","Wed Nov 12 07:32:02 UTC 2025","","Product Resource","uk.co.surf.resource.graph.ProductResourceTest","testGetProduct"
"","72","GetUser","","Wed Nov 12 07:32:03 UTC 2025","passed","Wed Nov 12 07:32:03 UTC 2025","","User Resource","uk.co.surf.resource.graph.UserResourceTest","testGetUserQuery"
"","97","testStaticDataQuery(String, String, String, Map) Business Types","","Wed Nov 12 07:32:02 UTC 2025","passed","Wed Nov 12 07:32:02 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","72","testStaticDataQuery(String, String, String, Map) Transaction Types","","Wed Nov 12 07:32:03 UTC 2025","passed","Wed Nov 12 07:32:03 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","93","GetCustomer","","Wed Nov 12 07:32:01 UTC 2025","passed","Wed Nov 12 07:32:02 UTC 2025","","Customer Resource","uk.co.surf.resource.graph.CustomerResourceTest","testGetCustomer"
"","428","Create Business","","Wed Nov 12 07:31:57 UTC 2025","passed","Wed Nov 12 07:31:58 UTC 2025","","Business Repository","uk.co.surf.repository.BusinessRepositoryTest","createBusiness"
"","109","GetBusiness","","Wed Nov 12 07:32:01 UTC 2025","passed","Wed Nov 12 07:32:01 UTC 2025","","Business Resource","uk.co.surf.resource.graph.BusinessResourceTest","testGetBusiness"
"","2","Search business","","Wed Nov 12 07:32:03 UTC 2025","skipped","Wed Nov 12 07:32:03 UTC 2025","","Business Service","uk.co.surf.service.BusinessServiceTest","testSearchBusinessLogic"
"","0","UpdateBusiness","","Wed Nov 12 07:32:01 UTC 2025","skipped","Wed Nov 12 07:32:01 UTC 2025","","Business Resource","uk.co.surf.resource.graph.BusinessResourceTest","testUpdateBusiness"
"","115","ListProducts","","Wed Nov 12 07:32:02 UTC 2025","passed","Wed Nov 12 07:32:02 UTC 2025","","Product Resource","uk.co.surf.resource.graph.ProductResourceTest","testListProducts"
"","0","test()","","Wed Nov 12 07:32:03 UTC 2025","skipped","Wed Nov 12 07:32:03 UTC 2025","","uk.co.surf.ExampleResourceTest","uk.co.surf.ExampleResourceTest","test"
"","0","testHelloEndpoint()","","Wed Nov 12 07:32:03 UTC 2025","skipped","Wed Nov 12 07:32:03 UTC 2025","","uk.co.surf.ExampleResourceTest","uk.co.surf.ExampleResourceTest","testHelloEndpoint"
"","0","UpdateCustomer","","Wed Nov 12 07:32:01 UTC 2025","skipped","Wed Nov 12 07:32:01 UTC 2025","","Customer Resource","uk.co.surf.resource.graph.CustomerResourceTest","testUpdateCustomer"
"","89","testStaticDataQuery(String, String, String, Map) Transaction Categories","","Wed Nov 12 07:32:03 UTC 2025","passed","Wed Nov 12 07:32:03 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","411","ListBusinesses","","Wed Nov 12 07:32:01 UTC 2025","passed","Wed Nov 12 07:32:01 UTC 2025","","Business Resource","uk.co.surf.resource.graph.BusinessResourceTest","testGetBusinessQuery"
"","193","testStaticDataQuery(String, String, String, Map) Currencies","","Wed Nov 12 07:32:03 UTC 2025","passed","Wed Nov 12 07:32:03 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","2649","EditBusiness","","Wed Nov 12 07:31:58 UTC 2025","passed","Wed Nov 12 07:32:01 UTC 2025","","Business Resource","uk.co.surf.resource.graph.BusinessResourceTest","testEditBusiness"
"","177","testStaticDataQuery(String, String, String, Map) Business Sub Types","","Wed Nov 12 07:32:02 UTC 2025","passed","Wed Nov 12 07:32:02 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","74","testStaticDataQuery(String, String, String, Map) Org Types","","Wed Nov 12 07:32:02 UTC 2025","passed","Wed Nov 12 07:32:02 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","74","testStaticDataQuery(String, String, String, Map) Payment Methods","","Wed Nov 12 07:32:03 UTC 2025","passed","Wed Nov 12 07:32:03 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","247","testStaticDataQuery(String, String, String, Map) Countries","","Wed Nov 12 07:32:02 UTC 2025","passed","Wed Nov 12 07:32:03 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","0","test2()","","Wed Nov 12 07:32:03 UTC 2025","skipped","Wed Nov 12 07:32:03 UTC 2025","","uk.co.surf.ExampleResourceTest","uk.co.surf.ExampleResourceTest","test2"
"","107","EditProduct","","Wed Nov 12 07:32:02 UTC 2025","passed","Wed Nov 12 07:32:02 UTC 2025","","Product Resource","uk.co.surf.resource.graph.ProductResourceTest","testEditProduct"
"","149","ListCustomers","","Wed Nov 12 07:32:01 UTC 2025","passed","Wed Nov 12 07:32:01 UTC 2025","","Customer Resource","uk.co.surf.resource.graph.CustomerResourceTest","testListCustomers"
