"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77","GetUser","","Sat Nov 22 08:06:18 UTC 2025","passed","Sat Nov 22 08:06:18 UTC 2025","","User Resource","uk.co.surf.resource.graph.UserResourceTest","testGetUserQuery"
"","320","testStaticDataQuery(String, String, String, Map) Countries","","Sat Nov 22 08:06:17 UTC 2025","passed","Sat Nov 22 08:06:17 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","76","testStaticDataQuery(String, String, String, Map) Transaction Types","","Sat Nov 22 08:06:18 UTC 2025","passed","Sat Nov 22 08:06:18 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","262","ListBusinesses","","Sat Nov 22 08:06:15 UTC 2025","passed","Sat Nov 22 08:06:16 UTC 2025","","Business Resource","uk.co.surf.resource.graph.BusinessResourceTest","testGetBusinessQuery"
"","0","test2()","","Sat Nov 22 08:06:18 UTC 2025","skipped","Sat Nov 22 08:06:18 UTC 2025","","uk.co.surf.ExampleResourceTest","uk.co.surf.ExampleResourceTest","test2"
"","130","ListProducts","","Sat Nov 22 08:06:16 UTC 2025","passed","Sat Nov 22 08:06:17 UTC 2025","","Product Resource","uk.co.surf.resource.graph.ProductResourceTest","testListProducts"
"","78","testStaticDataQuery(String, String, String, Map) Payment Methods","","Sat Nov 22 08:06:18 UTC 2025","passed","Sat Nov 22 08:06:18 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","219","testStaticDataQuery(String, String, String, Map) Business Sub Types","","Sat Nov 22 08:06:17 UTC 2025","passed","Sat Nov 22 08:06:17 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","82","GetCustomer","","Sat Nov 22 08:06:16 UTC 2025","passed","Sat Nov 22 08:06:16 UTC 2025","","Customer Resource","uk.co.surf.resource.graph.CustomerResourceTest","testGetCustomer"
"","103","testStaticDataQuery(String, String, String, Map) Business Types","","Sat Nov 22 08:06:17 UTC 2025","passed","Sat Nov 22 08:06:17 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","114","GetBusiness","","Sat Nov 22 08:06:16 UTC 2025","passed","Sat Nov 22 08:06:16 UTC 2025","","Business Resource","uk.co.surf.resource.graph.BusinessResourceTest","testGetBusiness"
"","87","testStaticDataQuery(String, String, String, Map) Transaction Categories","","Sat Nov 22 08:06:18 UTC 2025","passed","Sat Nov 22 08:06:18 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","200","testStaticDataQuery(String, String, String, Map) Currencies","","Sat Nov 22 08:06:17 UTC 2025","passed","Sat Nov 22 08:06:18 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","172","ListCustomers","","Sat Nov 22 08:06:16 UTC 2025","passed","Sat Nov 22 08:06:16 UTC 2025","","Customer Resource","uk.co.surf.resource.graph.CustomerResourceTest","testListCustomers"
"","2393","EditBusiness","","Sat Nov 22 08:06:13 UTC 2025","passed","Sat Nov 22 08:06:15 UTC 2025","","Business Resource","uk.co.surf.resource.graph.BusinessResourceTest","testEditBusiness"
"","81","testStaticDataQuery(String, String, String, Map) Org Types","","Sat Nov 22 08:06:17 UTC 2025","passed","Sat Nov 22 08:06:17 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","0","test()","","Sat Nov 22 08:06:18 UTC 2025","skipped","Sat Nov 22 08:06:18 UTC 2025","","uk.co.surf.ExampleResourceTest","uk.co.surf.ExampleResourceTest","test"
"","493","Create Business","","Sat Nov 22 08:06:12 UTC 2025","passed","Sat Nov 22 08:06:13 UTC 2025","","Business Repository","uk.co.surf.repository.BusinessRepositoryTest","createBusiness"
"","109","EditProduct","","Sat Nov 22 08:06:16 UTC 2025","passed","Sat Nov 22 08:06:16 UTC 2025","","Product Resource","uk.co.surf.resource.graph.ProductResourceTest","testEditProduct"
"","0","UpdateCustomer","","Sat Nov 22 08:06:16 UTC 2025","skipped","Sat Nov 22 08:06:16 UTC 2025","","Customer Resource","uk.co.surf.resource.graph.CustomerResourceTest","testUpdateCustomer"
"","0","Search business","","Sat Nov 22 08:06:18 UTC 2025","skipped","Sat Nov 22 08:06:18 UTC 2025","","Business Service","uk.co.surf.service.BusinessServiceTest","testSearchBusinessLogic"
"","0","UpdateBusiness","","Sat Nov 22 08:06:16 UTC 2025","skipped","Sat Nov 22 08:06:16 UTC 2025","","Business Resource","uk.co.surf.resource.graph.BusinessResourceTest","testUpdateBusiness"
"","130","GetProduct","","Sat Nov 22 08:06:16 UTC 2025","passed","Sat Nov 22 08:06:16 UTC 2025","","Product Resource","uk.co.surf.resource.graph.ProductResourceTest","testGetProduct"
"","0","testHelloEndpoint()","","Sat Nov 22 08:06:18 UTC 2025","skipped","Sat Nov 22 08:06:18 UTC 2025","","uk.co.surf.ExampleResourceTest","uk.co.surf.ExampleResourceTest","testHelloEndpoint"
